iter	Passed	Remaining
399	43667	720518
400	43821	721138
401	43928	720989
402	44022	720643
403	44133	720549
404	44233	720292
405	44337	720094
406	44444	719951
407	44587	720396
408	44708	720468
409	44809	720224
410	44907	719933
411	44998	719540
412	45103	719366
413	45219	719368
414	45332	719304
415	45441	719197
416	45549	719064
417	45649	718823
418	45752	718611
419	45853	718378
420	45946	718014
421	46102	718623
422	46255	719195
423	46360	719026
424	46465	718841
425	46573	718712
426	46670	718415
427	46780	718319
428	46981	719613
429	47084	719404
430	47183	719130
431	47287	718951
432	47389	718717
433	47493	718532
434	47646	719081
435	47745	718816
436	47844	718540
437	47952	718417
438	48056	718221
439	48211	718786
440	48432	720334
441	48686	722373
442	48837	722861
443	48973	723132
444	49072	722852
445	49242	723619
446	49346	723423
447	49446	723159
448	49545	722881
449	49646	722633
450	49747	722379
451	49849	722154
452	49951	721927
453	50052	721675
454	50154	721446
455	50251	721152
456	50349	720875
457	50453	720665
458	50552	720397
459	50657	720219
460	50754	719917
461	50853	719657
462	50952	719384
463	51051	719119
464	51150	718855
465	51249	718594
466	51345	718285
467	51519	719073
468	51616	718778
469	51791	719566
470	51896	719385
471	52038	719722
472	52140	719500
473	52234	719159
474	52335	718917
475	52533	720015
476	52633	719763
477	52730	719469
478	52838	719335
479	52936	719060
480	53046	718945
481	53149	718734
482	53303	719216
483	53408	719028
484	53525	719013
485	53650	719099
486	53812	719671
487	53912	719417
488	54013	719181
489	54110	718901
490	54211	718655
491	54309	718391
492	54414	718206
493	54514	717957
494	54610	717659
495	54705	717344
496	54811	717180
497	54904	716842
498	55002	716577
499	55105	716367
500	55209	716181
501	55292	715722
502	55396	715526
503	55516	715542
504	55612	715248
505	55709	714969
506	55811	714756
507	55921	714649
508	56074	715087
509	56182	714950
510	56310	715064
511	56470	715590
512	56592	715627
513	56693	715393
514	56794	715169
515	56892	714907
516	56988	714620
517	57124	714834
518	57224	714592
519	57321	714308
520	57423	714100
521	57523	713862
522	57625	713647
523	57726	713430
524	57833	713277
525	57933	713044
526	58034	712821
527	58129	712520
528	58322	713424
529	58422	713201
530	58521	712953
531	58623	712743
532	58731	712606
533	58866	712796
534	58969	712588
535	59082	712513
536	59180	712255
537	59298	712239
538	59397	712003
539	59502	711828
540	59606	711637
541	59699	711329
542	59795	711051
543	59897	710842
544	59991	710543
545	60093	710340
546	60192	710097
547	60292	709871
548	60391	709622
549	60534	709903
550	60649	709849
551	60746	709589
552	60852	709427
553	60950	709178
554	61050	708959
555	61152	708749
556	61249	708498
