iter	RMSE
0	0.1395431718
1	0.1371541746
2	0.1348216841
3	0.1325160657
4	0.1302964641
5	0.1281053973
6	0.1259478773
7	0.1239173995
8	0.1218956934
9	0.1199115996
10	0.1179121313
11	0.1159825704
12	0.1140931799
13	0.112270872
14	0.1104538372
15	0.1086784542
16	0.106951011
17	0.1052564094
18	0.1035770114
19	0.1019736909
20	0.1004817956
21	0.09890810036
22	0.09736671427
23	0.09593042732
24	0.09446592925
25	0.09303198854
26	0.09164299163
27	0.09030153423
28	0.08899415041
29	0.08770783309
30	0.0864586725
31	0.08521394171
32	0.08404762779
33	0.0828893079
34	0.08173385009
35	0.08062743381
36	0.07950999419
37	0.07845309355
38	0.07738460269
39	0.0763473283
40	0.07535276085
41	0.07437767651
42	0.073437295
43	0.07251918468
44	0.07161822708
45	0.07075268884
46	0.06988122379
47	0.0690273356
48	0.06818563091
49	0.06734646125
50	0.06659526428
51	0.06583624779
52	0.06509968748
53	0.06438278525
54	0.06370598515
55	0.06298079365
56	0.06230183926
57	0.0616272168
58	0.06097288313
59	0.06033878359
60	0.05968473309
61	0.05904190867
62	0.05842411698
63	0.05783822565
64	0.05728118037
65	0.05672709634
66	0.05620897444
67	0.05566850087
68	0.05513019741
69	0.05461972645
70	0.05414624613
71	0.05366918523
72	0.0532056109
73	0.05277287073
74	0.05233125347
75	0.05190036507
76	0.05148042657
77	0.0510871184
78	0.05068139468
79	0.05028752484
80	0.0499087509
81	0.04952822946
82	0.049158471
83	0.04879874557
84	0.04846005824
85	0.04809451573
86	0.04778270977
87	0.04745246411
88	0.04713179748
89	0.04685056481
90	0.0465704159
91	0.0462784692
92	0.04596641348
93	0.04569491975
94	0.04544697896
95	0.04519786883
96	0.0449425637
97	0.0447079069
98	0.04448902388
99	0.04423778779
100	0.04399153283
101	0.0437564369
102	0.04354303845
103	0.04332592602
104	0.04312980233
105	0.04291969063
106	0.0427381733
107	0.04252555867
108	0.0423531666
109	0.04215436252
110	0.04195994945
111	0.04178782904
112	0.0416079636
113	0.04144492024
114	0.04127212513
115	0.0410937516
116	0.04092059172
117	0.04074661133
118	0.04059965436
119	0.04045376181
120	0.04028619303
121	0.04012852014
122	0.0399970487
123	0.03988781259
124	0.0397459657
125	0.03961686434
126	0.03949053842
127	0.03936266328
128	0.03925486234
129	0.03914192589
130	0.03901996666
131	0.03890094444
132	0.03879033965
133	0.03868298795
134	0.03857327204
135	0.03846090699
136	0.03835047015
137	0.03823988583
138	0.03814030546
139	0.03805146415
140	0.03795688125
141	0.03788915139
142	0.03780394896
143	0.03771686542
144	0.03762367418
145	0.0375293489
146	0.03744779048
147	0.03734135431
148	0.03727753619
149	0.03721370834
150	0.03712794421
151	0.03704519414
152	0.03695720253
153	0.03687715096
154	0.03681675023
155	0.03673512893
156	0.03665274137
157	0.03658772675
158	0.03651059287
159	0.03645105909
160	0.03639189313
161	0.03632058974
162	0.03625023153
163	0.03618741752
164	0.03612563408
165	0.03607331519
166	0.03600577704
167	0.03595809929
168	0.0359078129
169	0.0358515298
170	0.03580253494
171	0.03573771722
172	0.03569360982
173	0.035645621
174	0.03560148144
175	0.03554054366
176	0.03547279366
177	0.03543764217
178	0.03539335107
179	0.03535358522
180	0.03530483286
181	0.03523161418
182	0.03517571764
183	0.03512880768
184	0.03508012856
185	0.03502591715
186	0.03496254681
187	0.0349224658
188	0.03487424389
189	0.03482744342
190	0.0347870515
191	0.03474079329
192	0.03470425038
193	0.03465929066
194	0.03461655513
195	0.03458158059
196	0.03455642311
197	0.03451303415
198	0.03447121692
199	0.03443325351
200	0.0343978225
201	0.03436348841
202	0.03432542628
203	0.0342951595
204	0.03425305789
205	0.03421145299
206	0.03417155882
207	0.03414346735
208	0.03411415149
209	0.03407934696
210	0.03403890919
211	0.03401064021
212	0.03396664642
213	0.03394136479
214	0.03391507959
215	0.03388041007
216	0.03384859289
217	0.0338162942
218	0.03379180461
219	0.03375919503
220	0.03370437403
221	0.03368500065
222	0.03366342474
223	0.03362173336
224	0.03359819838
225	0.03356106738
226	0.03353223913
227	0.03349313324
228	0.03345695695
229	0.03343045686
230	0.03338825844
231	0.03335660715
232	0.03332295405
233	0.03328701888
234	0.03327192841
235	0.03323838562
236	0.03321354885
237	0.03319031343
238	0.03316357461
239	0.03313053144
240	0.03310782351
241	0.03307486172
242	0.03305783055
243	0.03301849316
244	0.03298279686
245	0.03295316837
246	0.03292296545
247	0.03290377237
248	0.03287633955
249	0.0328533079
250	0.03282381833
251	0.03280306652
252	0.03278542995
253	0.03276201459
254	0.03273512678
255	0.03270752739
256	0.03267777528
257	0.03265646925
258	0.03261900107
259	0.03259475062
260	0.03256782743
261	0.03255364543
262	0.03252543741
263	0.03250409658
264	0.03247594323
265	0.03245303949
266	0.03243407905
267	0.03240121054
268	0.03236990807
269	0.03234677723
270	0.03233268934
271	0.03230573202
272	0.03228956634
273	0.03227242277
274	0.03225007424
275	0.03223000124
276	0.03221684055
277	0.03219759552
278	0.03217031995
279	0.03215554582
280	0.03213695324
281	0.03211511459
282	0.03209659596
283	0.03207907268
284	0.03205940899
285	0.03203016035
286	0.03200306922
287	0.03197581157
288	0.03195745146
289	0.03193558852
290	0.03191146015
291	0.0318947304
292	0.03187097718
293	0.03184299624
294	0.03181537898
295	0.03179636166
296	0.03177571631
297	0.03175213736
298	0.03173179989
299	0.03171015609
300	0.03169890666
301	0.03168123461
302	0.03167003982
303	0.03165707492
304	0.03163551114
305	0.03161700631
306	0.03160293704
307	0.03159014001
308	0.03158013388
309	0.03156879634
310	0.03155683916
311	0.03153797835
